timestamp,k,comando_l_hip_roll,real_l_hip_roll,erro_l_hip_roll,comando_l_knee,real_l_knee,erro_l_knee
1.76004e+09,0,-0.0709378,0,0.0709378,0.609427,0,-0.609427
1.76004e+09,1,-0.0709359,0,0.0709359,0.609428,0,-0.609428
1.76004e+09,2,-0.0709311,-0.0709378,-6.69852e-06,0.609431,0.609427,-3.07872e-06
1.76004e+09,3,-0.0709224,-0.0709359,-1.35003e-05,0.609435,0.609428,-6.20281e-06
1.76004e+09,4,-0.0709091,-0.0709311,-2.19549e-05,0.609441,0.609431,-1.00815e-05
1.76004e+09,5,-0.0708908,-0.0709224,-3.15286e-05,0.609449,0.609435,-1.44653e-05
1.76004e+09,6,-0.0708673,-0.0709091,-4.17693e-05,0.60946,0.609441,-1.91412e-05
1.76004e+09,7,-0.0708385,-0.0708673,-2.8798e-05,0.609473,0.60946,-1.31672e-05
1.76004e+09,8,-0.0708045,-0.0708385,-3.40159e-05,0.609488,0.609473,-1.55217e-05
1.76004e+09,9,-0.0707655,-0.0708045,-3.90476e-05,0.609506,0.609488,-1.7776e-05
1.76004e+09,10,-0.0707217,-0.0707655,-4.38104e-05,0.609526,0.609506,-1.98911e-05
1.76004e+09,11,-0.0706734,-0.0707217,-4.82438e-05,0.609548,0.609526,-2.1839e-05
1.76004e+09,12,-0.0706211,-0.0706734,-5.2307e-05,0.609572,0.609548,-2.36014e-05
1.76004e+09,13,-0.0705651,-0.0706211,-5.59752e-05,0.609597,0.609572,-2.51678e-05
1.76004e+09,14,-0.0705059,-0.0706211,-0.000115213,0.609623,0.609572,-5.17027e-05
1.76004e+09,15,-0.0704438,-0.0705059,-6.20941e-05,0.609651,0.609623,-2.77042e-05
1.76004e+09,16,-0.0703792,-0.0705059,-0.000126648,0.60968,0.609623,-5.63865e-05
1.76004e+09,17,-0.0703126,-0.0704438,-0.000131188,0.609709,0.609651,-5.81608e-05
1.76004e+09,18,-0.0702443,-0.0703126,-6.83547e-05,0.609739,0.609709,-3.01049e-05
1.76004e+09,19,-0.0701745,-0.0702443,-6.97417e-05,0.60977,0.609739,-3.0575e-05
1.76004e+09,20,-0.0701037,-0.0701745,-7.08226e-05,0.609801,0.60977,-3.09034e-05
1.76004e+09,21,-0.0700321,-0.0701745,-0.000142449,0.609832,0.60977,-6.20084e-05
1.76004e+09,22,-0.0699599,-0.0700321,-7.21819e-05,0.609863,0.609832,-3.11946e-05
1.76004e+09,23,-0.0698874,-0.0700321,-0.000144701,0.609894,0.609832,-6.23816e-05
1.76004e+09,24,-0.0698147,-0.0699599,-0.000145184,0.609925,0.609863,-6.22829e-05
1.76004e+09,25,-0.0697421,-0.0698874,-0.000145314,0.609956,0.609894,-6.20303e-05
1.76004e+09,26,-0.0696696,-0.0698147,-0.000145141,0.609987,0.609925,-6.16489e-05
1.76004e+09,27,-0.0695973,-0.0697421,-0.000144715,0.610017,0.609956,-6.1162e-05
1.76004e+09,28,-0.0695255,-0.0696696,-0.000144081,0.610048,0.609987,-6.05904e-05
1.76004e+09,29,-0.0694541,-0.0695973,-0.00014328,0.610077,0.610017,-5.99527e-05
1.76004e+09,30,-0.0693831,-0.0695255,-0.000142347,0.610107,0.610048,-5.92657e-05
1.76004e+09,31,-0.0693127,-0.0694541,-0.000141315,0.610136,0.610077,-5.85437e-05
1.76004e+09,32,-0.0692429,-0.0693831,-0.000140213,0.610165,0.610107,-5.77992e-05
1.76004e+09,33,-0.0691737,-0.0693127,-0.000139065,0.610193,0.610136,-5.70427e-05
1.76004e+09,34,-0.069105,-0.0691737,-6.8651e-05,0.610221,0.610193,-2.79517e-05
1.76004e+09,35,-0.069037,-0.069105,-6.80609e-05,0.610248,0.610221,-2.75757e-05
