timestamp,k,comando_l_hip_roll,real_l_hip_roll,erro_l_hip_roll,comando_l_knee,real_l_knee,erro_l_knee
1.76004e+09,0,-0.0703891,0,0.0703891,0.6082,0,-0.6082
1.76004e+09,1,-0.0703872,0,0.0703872,0.608201,0,-0.608201
1.76004e+09,2,-0.0703824,-0.0703891,-6.65336e-06,0.608203,0.6082,-3.03985e-06
1.76004e+09,3,-0.0703738,-0.0703872,-1.34093e-05,0.608207,0.608201,-6.12447e-06
1.76004e+09,4,-0.0703606,-0.0703824,-2.18069e-05,0.608213,0.608203,-9.95414e-06
1.76004e+09,5,-0.0703425,-0.0703738,-3.13161e-05,0.608221,0.608207,-1.42823e-05
1.76004e+09,6,-0.0703191,-0.0703606,-4.14878e-05,0.608232,0.608213,-1.88989e-05
1.76004e+09,7,-0.0702905,-0.0703425,-5.19479e-05,0.608245,0.608221,-2.36278e-05
1.76004e+09,8,-0.0702567,-0.0703191,-6.23905e-05,0.60826,0.608232,-2.83247e-05
1.76004e+09,9,-0.070218,-0.0702905,-7.2571e-05,0.608278,0.608245,-3.28741e-05
1.76004e+09,10,-0.0701744,-0.0702567,-8.22994e-05,0.608298,0.60826,-3.71868e-05
1.76004e+09,11,-0.0701265,-0.070218,-9.14337e-05,0.608319,0.608278,-4.11967e-05
1.76004e+09,12,-0.0700746,-0.0701744,-9.9873e-05,0.608342,0.608298,-4.4858e-05
1.76004e+09,13,-0.070019,-0.0701265,-0.000107552,0.608367,0.608319,-4.81423e-05
1.76004e+09,14,-0.0699601,-0.0700746,-0.000114436,0.608393,0.608342,-5.10359e-05
1.76004e+09,15,-0.0698985,-0.070019,-0.000120514,0.608421,0.608367,-5.35372e-05
1.76004e+09,16,-0.0698343,-0.0698985,-6.4119e-05,0.608449,0.608421,-2.83091e-05
1.76004e+09,17,-0.0697682,-0.0698343,-6.61847e-05,0.608478,0.608449,-2.90935e-05
1.76004e+09,18,-0.0697003,-0.0697682,-6.78939e-05,0.608508,0.608478,-2.97102e-05
1.76004e+09,19,-0.069631,-0.0697003,-6.92716e-05,0.608538,0.608508,-3.01725e-05
1.76004e+09,20,-0.0695606,-0.069631,-7.03452e-05,0.608569,0.608538,-3.04948e-05
1.76004e+09,21,-0.0694895,-0.0695606,-7.11433e-05,0.608599,0.608569,-3.0692e-05
1.76004e+09,22,-0.0694178,-0.0694895,-7.16953e-05,0.60863,0.608599,-3.07787e-05
1.76004e+09,23,-0.0693458,-0.0694178,-7.20301e-05,0.608661,0.60863,-3.07693e-05
1.76004e+09,24,-0.0692736,-0.0693458,-7.21756e-05,0.608692,0.608661,-3.06776e-05
1.76004e+09,25,-0.0692014,-0.0693458,-0.000144334,0.608722,0.608661,-6.1194e-05
1.76004e+09,26,-0.0691294,-0.0692014,-7.20042e-05,0.608752,0.608722,-3.02977e-05
1.76004e+09,27,-0.0690577,-0.0691294,-7.17357e-05,0.608782,0.608752,-3.00324e-05
1.76004e+09,28,-0.0689863,-0.0690577,-7.13744e-05,0.608812,0.608782,-2.97302e-05
1.76004e+09,29,-0.0689154,-0.0690577,-0.000142314,0.608842,0.608782,-5.913e-05
1.76004e+09,30,-0.0688449,-0.0689154,-7.04478e-05,0.608871,0.608842,-2.9049e-05
1.76004e+09,31,-0.068775,-0.0688449,-6.99147e-05,0.608899,0.608871,-2.86842e-05
1.76004e+09,32,-0.0687057,-0.068775,-6.93532e-05,0.608928,0.608899,-2.83112e-05
1.76004e+09,33,-0.0686369,-0.0687057,-6.87746e-05,0.608955,0.608928,-2.79347e-05
1.76004e+09,34,-0.0685687,-0.0687057,-0.000136963,0.608983,0.608928,-5.54933e-05
1.76004e+09,35,-0.0685011,-0.0685687,-6.7602e-05,0.60901,0.608983,-2.71862e-05
1.76004e+09,36,-0.0684341,-0.0685011,-6.70225e-05,0.609037,0.60901,-2.68199e-05
1.76004e+09,37,-0.0683676,-0.0684341,-6.64547e-05,0.609064,0.609037,-2.64618e-05
1.76004e+09,38,-0.0683017,-0.0684341,-0.000132357,0.60909,0.609037,-5.2575e-05
1.76004e+09,39,-0.0682364,-0.0683676,-0.000131272,0.609115,0.609064,-5.18884e-05
1.76004e+09,40,-0.0681715,-0.0683017,-0.000130226,0.609141,0.60909,-5.12236e-05
1.76004e+09,41,-0.0681071,-0.0682364,-0.000129222,0.609166,0.609115,-5.05815e-05
1.76004e+09,42,-0.0680432,-0.0681715,-0.000128263,0.609191,0.609141,-4.99626e-05
1.76004e+09,43,-0.0679798,-0.0681071,-0.00012735,0.609215,0.609166,-4.93667e-05
1.76004e+09,44,-0.0679168,-0.0679798,-6.30297e-05,0.60924,0.609215,-2.42561e-05
1.76004e+09,45,-0.0678541,-0.0679798,-0.000125658,0.609264,0.609215,-4.8242e-05
1.76004e+09,46,-0.0677919,-0.0679168,-0.000124878,0.609287,0.60924,-4.77115e-05
1.76004e+09,47,-0.06773,-0.0678541,-0.000124138,0.609311,0.609264,-4.7201e-05
1.76004e+09,48,-0.0676684,-0.0677919,-0.000123438,0.609334,0.609287,-4.67093e-05
1.76004e+09,49,-0.0676072,-0.06773,-0.000122773,0.609357,0.609311,-4.62351e-05
1.76004e+09,50,-0.0675463,-0.0676072,-6.0918e-05,0.60938,0.609357,-2.27761e-05
1.76004e+09,51,-0.0674857,-0.0675463,-6.06259e-05,0.609402,0.60938,-2.25582e-05
1.76004e+09,52,-0.0674253,-0.0675463,-0.000120974,0.609425,0.60938,-4.49053e-05
1.76004e+09,53,-0.0673652,-0.0674857,-0.00012043,0.609447,0.609402,-4.44892e-05
1.76004e+09,54,-0.0673054,-0.0673652,-5.98276e-05,0.609469,0.609447,-2.19426e-05
1.76004e+09,55,-0.0672458,-0.0673054,-5.95837e-05,0.609491,0.609469,-2.17483e-05
