k, zmp_ref_x, zmp_ref_y, zmp_real_x, zmp_real_y, com_x, com_y, foot_r_x, foot_r_y, foot_r_yaw, foot_l_x, foot_l_y, foot_l_yaw, jerk_x, jerk_y
0, 0, 0, 0, 0, 0, 0, 0, -0.0149941, 0, 0, 0.015, 0, 3.51419, 171.166
1, 0, 0, -0.000644506, -0.031392, 2.99878e-07, 1.46062e-05, 0, -0.014953, 0, 0, 0.015, 0, -0.176453, -8.59669
2, 0, 0, -0.000610345, -0.0297277, 2.08409e-06, 0.00010151, 0, -0.0148436, 0, 0, 0.015, 0, -1.32869, -64.7186
3, 0, 0, -0.000363155, -0.0176874, 5.47889e-06, 0.000266859, 0, -0.0146371, 0, 0, 0.015, 0, -1.25008, -60.8891
4, 0, 0, -0.000129351, -0.0062993, 9.90905e-06, 0.000482635, 0, -0.0143104, 0, 0, 0.015, 0, -0.788434, -38.4028
5, 0, 0, 2.01735e-05, 0.000983704, 1.47672e-05, 0.000719254, 0, -0.0138477, 0, 0, 0.015, 0, -0.354459, -17.2646
6, 0, 0, 9.00919e-05, 0.0043892, 1.96473e-05, 0.00095694, 0, -0.0132414, 0, 0, 0.015, 0, -0.0757017, -3.68678
7, 0, 0, 0.000108689, 0.00529494, 2.43546e-05, 0.00118621, 0, -0.0124926, 0, 0, 0.015, 0, 0.0573665, 2.79488
8, 0, 0, 0.000102647, 0.00500048, 2.88379e-05, 0.00140456, 0, -0.011611, 0, 0, 0.015, 0, 0.0967618, 4.71398
9, 0, 0, 8.9173e-05, 0.00434401, 3.31186e-05, 0.00161304, 0, -0.0106143, 0, 0, 0.015, 0, 0.0912413, 4.4452
10, 0, 0, 7.65554e-05, 0.00372922, 3.72425e-05, 0.00181389, 0, -0.00952722, 0, 0, 0.015, 0, 0.0721489, 3.51475
11, 0, 0, 6.73296e-05, 0.00327973, 4.1255e-05, 0.0020093, 0, -0.00837985, 0, 0, 0.015, 0, 0.0545285, 2.65464
12, 0, 0, 6.12626e-05, 0.00298443, 4.51933e-05, 0.0022011, 0, -0.00720598, 0, 0, 0.015, 0, 0.042953, 2.08665
13, 0, 0, 5.72737e-05, 0.00279113, 4.90857e-05, 0.00239066, 0, -0.00604098, 0, 0, 0.015, 0, 0.0369728, 1.78844
14, 0, 0, 5.43588e-05, 0.00265139, 5.29548e-05, 0.00257909, 0, -0.00491971, 0, 0, 0.015, 0, 0.0346133, 1.66523
15, 0, 0, 5.18727e-05, 0.00253406, 5.68197e-05, 0.00276729, 0, -0.00387435, 0, 0, 0.015, 0, 0.0340517, 1.63381
16, 0, 0, 4.95034e-05, 0.00242313, 6.06984e-05, 0.00295615, 0, -0.00293252, 0, 0, 0.015, 0, 0.0341215, 1.65005
17, 0, 0, 4.71525e-05, 0.00231072, 6.46084e-05, 0.0031465, 0, -0.00211558, 0, 0, 0.015, 0, 0.0342551, 1.70766
18, 0, 0, 4.48259e-05, 0.00219007, 6.85671e-05, 0.00333918, 0, -0.00143734, 0, 0, 0.015, 0, 0.0342942, 1.82302
19, 0, 0, 4.25583e-05, 0.00205147, 7.2592e-05, 0.00353508, 0, -0.000903241, 0, 0, 0.015, 0, 0.0342719, 2.00829
20, 0, 0, 4.03786e-05, 0.00188303, 7.67007e-05, 0.00373513, 0, -0.000510014, 0, 0, 0.015, 0, 0.0342728, 2.22729
21, 0, 0, 3.83001e-05, 0.00167959, 8.09108e-05, 0.00394038, 0, -0.000245878, 0, 0, 0.015, 0, 0.0343557, 2.33037
22, 0, 0, 3.63253e-05, 0.00146356, 8.52398e-05, 0.00415193, 0, -9.12548e-05, 0, 0, 0.015, 0, 0.0345435, 1.98051
23, 0, 0, 3.44525e-05, 0.0013192, 8.97053e-05, 0.00437097, 0, -1.9952e-05, 0, 0, 0.015, 0, 0.0348505, 0.621588
